,comparison_Type,text1_index,text1_class,text2_index,text2_class,similarity
360,Similarity(different_class),75,soc.religion.christian,55,sci.crypt,0.10067393
361,Similarity(different_class),75,soc.religion.christian,60,sci.electronics,0.05240864
362,Similarity(different_class),75,soc.religion.christian,65,sci.med,0.11425601
363,Similarity(different_class),75,soc.religion.christian,70,sci.space,0.1274021
364,Similarity(different_class),75,soc.religion.christian,80,talk.politics.guns,0.10464878
365,Similarity(different_class),75,soc.religion.christian,85,talk.politics.mideast,0.30750626
366,Similarity(different_class),75,soc.religion.christian,90,talk.politics.misc,0.27866876
367,Similarity(different_class),75,soc.religion.christian,95,talk.religion.misc,0.19815299
368,Similarity(same_class),80,talk.politics.guns,81,talk.politics.guns,0.3824818
369,Similarity(same_class),80,talk.politics.guns,82,talk.politics.guns,0.4481
370,Similarity(same_class),80,talk.politics.guns,83,talk.politics.guns,0.34315747
371,Similarity(same_class),80,talk.politics.guns,84,talk.politics.guns,0.3387323
372,Similarity(different_class),80,talk.politics.guns,0,alt.atheism,0.33591905
373,Similarity(different_class),80,talk.politics.guns,5,comp.graphics,0.17496186
374,Similarity(different_class),80,talk.politics.guns,10,comp.os.ms-windows.misc,0.21866876
375,Similarity(different_class),80,talk.politics.guns,15,comp.sys.ibm.pc.hardware,0.034520753
376,Similarity(different_class),80,talk.politics.guns,20,comp.sys.mac.hardware,0.11525728
377,Similarity(different_class),80,talk.politics.guns,25,comp.windows.x,0.102801755
378,Similarity(different_class),80,talk.politics.guns,30,misc.forsale,0.1258114
379,Similarity(different_class),80,talk.politics.guns,35,rec.autos,0.17120647
380,Similarity(different_class),80,talk.politics.guns,40,rec.motorcycles,0.14949358
381,Similarity(different_class),80,talk.politics.guns,45,rec.sport.baseball,0.23912708
382,Similarity(different_class),80,talk.politics.guns,50,rec.sport.hockey,0.083582096
383,Similarity(different_class),80,talk.politics.guns,55,sci.crypt,0.15764222
384,Similarity(different_class),80,talk.politics.guns,60,sci.electronics,0.17386627
385,Similarity(different_class),80,talk.politics.guns,65,sci.med,0.094196364
386,Similarity(different_class),80,talk.politics.guns,70,sci.space,0.11020762
387,Similarity(different_class),80,talk.politics.guns,75,soc.religion.christian,0.11693473
388,Similarity(different_class),80,talk.politics.guns,85,talk.politics.mideast,0.2684353
389,Similarity(different_class),80,talk.politics.guns,90,talk.politics.misc,0.2781932
390,Similarity(different_class),80,talk.politics.guns,95,talk.religion.misc,0.33205497
391,Similarity(same_class),85,talk.politics.mideast,86,talk.politics.mideast,0.27644774
392,Similarity(same_class),85,talk.politics.mideast,87,talk.politics.mideast,0.29928398
393,Similarity(same_class),85,talk.politics.mideast,88,talk.politics.mideast,0.20614529
394,Similarity(same_class),85,talk.politics.mideast,89,talk.politics.mideast,0.31588387
395,Similarity(different_class),85,talk.politics.mideast,0,alt.atheism,0.11904229
396,Similarity(different_class),85,talk.politics.mideast,5,comp.graphics,0.18202853
397,Similarity(different_class),85,talk.politics.mideast,10,comp.os.ms-windows.misc,0.21455999
398,Similarity(different_class),85,talk.politics.mideast,15,comp.sys.ibm.pc.hardware,0.24846697
399,Similarity(different_class),85,talk.politics.mideast,20,comp.sys.mac.hardware,0.38550168
400,Similarity(different_class),85,talk.politics.mideast,25,comp.windows.x,0.13378812
401,Similarity(different_class),85,talk.politics.mideast,30,misc.forsale,0.17572255
402,Similarity(different_class),85,talk.politics.mideast,35,rec.autos,0.1874665
403,Similarity(different_class),85,talk.politics.mideast,40,rec.motorcycles,0.23728415
404,Similarity(different_class),85,talk.politics.mideast,45,rec.sport.baseball,0.26350874
405,Similarity(different_class),85,talk.politics.mideast,50,rec.sport.hockey,0.106362015
406,Similarity(different_class),85,talk.politics.mideast,55,sci.crypt,0.38671303
407,Similarity(different_class),85,talk.politics.mideast,60,sci.electronics,0.23299697
408,Similarity(different_class),85,talk.politics.mideast,65,sci.med,0.32362998
409,Similarity(different_class),85,talk.politics.mideast,70,sci.space,0.22902775
410,Similarity(different_class),85,talk.politics.mideast,75,soc.religion.christian,0.31580055
411,Similarity(different_class),85,talk.politics.mideast,80,talk.politics.guns,0.24282885
412,Similarity(different_class),85,talk.politics.mideast,90,talk.politics.misc,0.22544405
413,Similarity(different_class),85,talk.politics.mideast,95,talk.religion.misc,0.20603585
414,Similarity(same_class),90,talk.politics.misc,91,talk.politics.misc,0.29283315
415,Similarity(same_class),90,talk.politics.misc,92,talk.politics.misc,0.24142186
416,Similarity(same_class),90,talk.politics.misc,93,talk.politics.misc,0.127861
417,Similarity(same_class),90,talk.politics.misc,94,talk.politics.misc,0.20130809
418,Similarity(different_class),90,talk.politics.misc,0,alt.atheism,0.16119054
419,Similarity(different_class),90,talk.politics.misc,5,comp.graphics,0.14064866
420,Similarity(different_class),90,talk.politics.misc,10,comp.os.ms-windows.misc,0.33594078
421,Similarity(different_class),90,talk.politics.misc,15,comp.sys.ibm.pc.hardware,0.103237316
422,Similarity(different_class),90,talk.politics.misc,20,comp.sys.mac.hardware,0.12585837
423,Similarity(different_class),90,talk.politics.misc,25,comp.windows.x,-0.06226964
424,Similarity(different_class),90,talk.politics.misc,30,misc.forsale,0.27046725
425,Similarity(different_class),90,talk.politics.misc,35,rec.autos,0.11698611
426,Similarity(different_class),90,talk.politics.misc,40,rec.motorcycles,0.1545361
427,Similarity(different_class),90,talk.politics.misc,45,rec.sport.baseball,0.22103748
428,Similarity(different_class),90,talk.politics.misc,50,rec.sport.hockey,0.1953318
429,Similarity(different_class),90,talk.politics.misc,55,sci.crypt,0.24591403
430,Similarity(different_class),90,talk.politics.misc,60,sci.electronics,0.18431625
431,Similarity(different_class),90,talk.politics.misc,65,sci.med,0.15510999
432,Similarity(different_class),90,talk.politics.misc,70,sci.space,0.1510191
433,Similarity(different_class),90,talk.politics.misc,75,soc.religion.christian,0.25351965
434,Similarity(different_class),90,talk.politics.misc,80,talk.politics.guns,0.2478268
435,Similarity(different_class),90,talk.politics.misc,85,talk.politics.mideast,0.2229527
436,Similarity(different_class),90,talk.politics.misc,95,talk.religion.misc,0.07098386
437,Similarity(same_class),95,talk.religion.misc,96,talk.religion.misc,0.18913993
438,Similarity(same_class),95,talk.religion.misc,97,talk.religion.misc,0.20569973
439,Similarity(same_class),95,talk.religion.misc,98,talk.religion.misc,0.24536431
440,Similarity(same_class),95,talk.religion.misc,99,talk.religion.misc,0.2139493
441,Similarity(different_class),95,talk.religion.misc,0,alt.atheism,0.24457373
442,Similarity(different_class),95,talk.religion.misc,5,comp.graphics,0.32861722
443,Similarity(different_class),95,talk.religion.misc,10,comp.os.ms-windows.misc,0.27884135
444,Similarity(different_class),95,talk.religion.misc,15,comp.sys.ibm.pc.hardware,0.16233847
445,Similarity(different_class),95,talk.religion.misc,20,comp.sys.mac.hardware,0.2905661
446,Similarity(different_class),95,talk.religion.misc,25,comp.windows.x,0.07875791
447,Similarity(different_class),95,talk.religion.misc,30,misc.forsale,0.12779924
448,Similarity(different_class),95,talk.religion.misc,35,rec.autos,0.1952076
449,Similarity(different_class),95,talk.religion.misc,40,rec.motorcycles,0.27494884
450,Similarity(different_class),95,talk.religion.misc,45,rec.sport.baseball,0.15488064
451,Similarity(different_class),95,talk.religion.misc,50,rec.sport.hockey,0.13455473
452,Similarity(different_class),95,talk.religion.misc,55,sci.crypt,0.13160792
453,Similarity(different_class),95,talk.religion.misc,60,sci.electronics,0.105111465
454,Similarity(different_class),95,talk.religion.misc,65,sci.med,0.010637179
455,Similarity(different_class),95,talk.religion.misc,70,sci.space,0.06748954
456,Similarity(different_class),95,talk.religion.misc,75,soc.religion.christian,0.19765669
457,Similarity(different_class),95,talk.religion.misc,80,talk.politics.guns,0.3154779
458,Similarity(different_class),95,talk.religion.misc,85,talk.politics.mideast,0.22716415
459,Similarity(different_class),95,talk.religion.misc,90,talk.politics.misc,0.10540941
